FILM,YEAR,MONTH_USE,BOMGENRE,MPAA,ANIMATED_BIN,NO_USE_DUMPMONTH_BIN,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Fandango_Stars,Fandango_Ratingvalue,RT_norm,RT_user_norm,Metacritic_norm,Metacritic_user_nom,IMDB_norm,RT_norm_round,RT_user_norm_round,Metacritic_norm_round,Metacritic_user_norm_round,IMDB_norm_round,Metacritic_user_vote_count,IMDB_user_vote_count,Fandango_votes,Fandango_Difference,MONTH_WRONG_NO_USE,MONTH_DIFF,BIN_ACTION_ADVENTURE,BIN_ACTION,BIN_ADVENTURE,BIN_ANIMATION,BIN_COMEDY,BIN_CRIME,BIN_DOCUMENTARY,BIN_DRAMA,BIN_FAMILY,BIN_FANTASY,BIN_FOREIGN,BIN_HORROR,BIN_MUSICAL,BIN_ROMANCE,BIN_SCIFI,BIN_THRILLER
The Divergent Series: Insurgent,2015,3,Action/Adventure,PG-13,0,0,30,61,42,5.4,6.4,4.5,4.2,1.5,3.05,2.1,2.7,3.2,1.5,3,2,2.5,3,206,89618,7123,0.3,March,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annie,2014,12,Musical,PG,0,0,27,61,33,4.8,5.2,4.5,4.2,1.35,3.05,1.65,2.4,2.6,1.5,3,1.5,2.5,2.5,108,19222,6835,0.3,December,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fantastic Four,2015,8,Action/Adventure,PG-13,0,1,9,20,27,2.5,4,3,2.7,0.45,1,1.35,1.25,2,0.5,1,1.5,1.5,2,421,39838,6288,0.3,August,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terminator Genisys,2015,6,Action,PG-13,0,0,26,60,38,6.4,6.9,4.5,4.2,1.3,3,1.9,3.2,3.45,1.5,3,2,3,3.5,779,85585,6272,0.3,July,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitch Perfect 2,2015,5,Comedy,PG-13,0,0,67,68,63,5.7,6.7,4.5,4.2,3.35,3.4,3.15,2.85,3.35,3.5,3.5,3,3,3.5,192,56333,4577,0.3,May,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Entourage,2015,5,Comedy,R,0,0,32,68,38,5.2,7.1,4.5,4.2,1.6,3.4,1.9,2.6,3.55,1.5,3.5,2,2.5,3.5,96,21914,4279,0.3,June,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Age of Adaline,2015,4,Drama,PG-13,0,0,54,68,51,7.4,7.3,4.5,4.2,2.7,3.4,2.55,3.7,3.65,2.5,3.5,2.5,3.5,3.5,100,45510,3325,0.3,April,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hot Pursuit,2015,5,Comedy,PG-13,0,0,8,37,31,3.7,4.9,4,3.7,0.4,1.85,1.55,1.85,2.45,0.5,2,1.5,2,2.5,78,17061,2618,0.3,May,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The DUFF,2015,2,Comedy,PG-13,0,1,71,68,56,6.4,6.6,4.5,4.2,3.55,3.4,2.8,3.2,3.3,3.5,3.5,3,3,3.5,69,33594,2273,0.3,February,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Black or White,2015,5,Drama,PG-13,0,1,39,68,45,7.9,6.6,4.5,4.2,1.95,3.4,2.25,3.95,3.3,2,3.5,2.5,4,3.5,24,4857,1862,0.3,January,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Project Almanac,2015,1,Sci-Fi,PG-13,0,1,34,46,47,5.4,6.4,4,3.7,1.7,2.3,2.35,2.7,3.2,1.5,2.5,2.5,2.5,3,95,40057,1834,0.3,January,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ricki and the Flash,2015,8,Comedy,PG-13,0,1,64,53,54,7,6.2,4,3.7,3.2,2.65,2.7,3.5,3.1,3,2.5,2.5,3.5,3,37,1769,1462,0.3,August,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Seventh Son,2015,2,Fantasy,PG-13,0,1,12,35,30,3.9,5.5,3.5,3.2,0.6,1.75,1.5,1.95,2.75,0.5,2,1.5,2,3,126,41177,1213,0.3,February,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mortdecai,2015,1,Action,R,0,1,12,30,27,3.2,5.5,3.5,3.2,0.6,1.5,1.35,1.6,2.75,0.5,1.5,1.5,1.5,3,144,31878,1196,0.3,January,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unfinished Business,2015,3,Comedy,R,0,0,11,27,32,3.8,5.4,3.5,3.2,0.55,1.35,1.6,1.9,2.7,0.5,1.5,1.5,2,2.5,39,14346,821,0.3,March,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
American Ultra,2015,8,Action,R,0,1,46,52,50,6.8,6.5,4,3.7,2.3,2.6,2.5,3.4,3.25,2.5,2.5,2.5,3.5,3.5,42,3017,638,0.3,August,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True Story,2015,4,Drama,R,0,0,45,41,50,5.7,6.3,3.5,3.2,2.25,2.05,2.5,2.85,3.15,2.5,2,2.5,3,3,37,16069,540,0.3,April,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Child 44,2015,4,Drama,R,0,0,26,44,41,5.3,6.4,4,3.7,1.3,2.2,2.05,2.65,3.2,1.5,2,2,2.5,3,73,19220,308,0.3,April,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dark Places,2015,7,Drama,R,0,0,26,33,39,7.9,6.3,4,3.7,1.3,1.65,1.95,3.95,3.15,1.5,1.5,2,4,3,18,9856,55,0.3,June,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Birdman or (The Unexpected Virtue of Ignorance),2014,10,Comedy,R,0,0,92,78,88,8,7.9,4,3.7,4.6,3.9,4.4,4,3.95,4.5,4,4.5,4,4,1171,303505,4194,0.3,November,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Gift,2015,8,Thriller,R,0,1,93,79,77,8.3,7.6,4,3.7,4.65,3.95,3.85,4.15,3.8,4.5,4,4,4,4,121,10891,2680,0.3,August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Unfriended,2015,4,Horror,R,0,1,60,39,59,5.8,5.9,3,2.7,3,1.95,2.95,2.9,2.95,3,2,3,3,3,130,22348,2507,0.3,February,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Monkey Kingdom,2015,4,Documentary,G,0,0,94,77,72,7.5,7.3,4.5,4.2,4.7,3.85,3.6,3.75,3.65,4.5,4,3.5,4,3.5,15,883,701,0.3,April,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mr. Turner,2014,12,Drama,R,0,0,98,56,94,6.6,6.9,3.5,3.2,4.9,2.8,4.7,3.3,3.45,5,3,4.5,3.5,3.5,98,13296,290,0.3,October,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Seymour: An Introduction,2015,3,Documentary,PG,0,1,100,87,83,6,7.7,4.5,4.2,5,4.35,4.15,3,3.85,5,4.5,4,3,4,4,243,41,0.3,September,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
American Sniper,2015,1,Drama,R,0,1,72,85,72,6.6,7.4,5,4.8,3.6,4.25,3.6,3.3,3.7,3.5,4.5,3.5,3.5,3.5,850,251856,34085,0.2,January,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Furious 7,2015,4,Action,PG-13,0,0,81,84,67,6.8,7.4,5,4.8,4.05,4.2,3.35,3.4,3.7,4,4,3.5,3.5,3.5,764,207211,33538,0.2,April,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hobbit: The Battle of the Five Armies,2014,12,Fantasy,PG-13,0,0,61,75,59,7,7.5,4.5,4.3,3.05,3.75,2.95,3.5,3.75,3,4,3,3.5,4,903,289464,15337,0.2,December,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
San Andreas,2015,5,Action,PG-13,0,0,50,58,43,5.5,6.5,4.5,4.3,2.5,2.9,2.15,2.75,3.25,2.5,3,2,3,3.5,199,45723,9749,0.2,May,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Straight Outta Compton,2015,8,Drama,R,0,1,90,94,72,7.3,8.4,5,4.8,4.5,4.7,3.6,3.65,4.2,4.5,4.5,3.5,3.5,4,90,15982,8096,0.2,August,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vacation,2015,7,Comedy,R,0,0,27,55,34,6.2,6.3,4,3.8,1.35,2.75,1.7,3.1,3.15,1.5,3,1.5,3,3,72,8179,3815,0.2,July,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chappie,2015,3,Sci-Fi,R,0,0,30,57,41,7.4,7,4,3.8,1.5,2.85,2.05,3.7,3.5,1.5,3,2,3.5,3.5,637,125088,3642,0.2,March,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Poltergeist,2015,5,Horror,PG-13,0,0,31,24,47,3.7,5,3,2.8,1.55,1.2,2.35,1.85,2.5,1.5,1,2.5,2,2.5,142,21372,2704,0.2,May,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Paper Towns,2015,6,Drama,PG-13,0,0,55,57,56,6.2,6.9,4,3.8,2.75,2.85,2.8,3.1,3.45,3,3,3,3,3.5,51,14156,1750,0.2,July,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Big Eyes,2014,12,Drama,PG-13,0,0,72,69,62,7.5,7,4,3.8,3.6,3.45,3.1,3.75,3.5,3.5,3.5,3,4,3.5,127,39152,1501,0.2,December,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Blackhat,2015,1,Thriller,R,0,1,34,25,51,5.4,5.4,3,2.8,1.7,1.25,2.55,2.7,2.7,1.5,1.5,2.5,2.5,2.5,80,27328,1430,0.2,January,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Self/less,2015,7,Sci-Fi,PG-13,0,0,20,51,34,8.4,6.6,4,3.8,1,2.55,1.7,4.2,3.3,1,2.5,1.5,4,3.5,77,5626,1415,0.2,July,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sinister 2,2015,8,Horror,R,0,1,13,34,31,5,5.5,3.5,3.3,0.65,1.7,1.55,2.5,2.75,0.5,1.5,1.5,2.5,3,37,3200,973,0.2,August,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Little Boy,2015,4,Drama,PG-13,0,0,20,81,30,5.9,7.4,4.5,4.3,1,4.05,1.5,2.95,3.7,1,4,1.5,3,3.5,38,5927,811,0.2,April,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Me and Earl and The Dying Girl,2015,7,Drama,PG-13,0,0,81,89,74,8.4,8.2,4.5,4.3,4.05,4.45,3.7,4.2,4.1,4,4.5,3.5,4,4,41,5269,624,0.2,July,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Maggie,2015,5,Drama,PG-13,0,0,54,32,52,6.5,5.6,3.5,3.3,2.7,1.6,2.6,3.25,2.8,2.5,1.5,2.5,3.5,3,90,18986,95,0.2,May,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mad Max: Fury Road,2015,5,Sci-Fi,R,0,0,97,88,89,8.7,8.3,4.5,4.3,4.85,4.4,4.45,4.35,4.15,5,4.5,4.5,4.5,4,2375,292023,10509,0.2,May,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Spy,2015,6,Comedy,R,0,0,93,82,75,6.3,7.3,4.5,4.3,4.65,4.1,3.75,3.15,3.65,4.5,4,4,3,3.5,318,66636,9418,0.2,June,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The SpongeBob Movie: Sponge Out of Water,2015,1,Animation,PG,1,1,78,55,62,6.5,6.1,3.5,3.3,3.9,2.75,3.1,3.25,3.05,4,3,3,3.5,3,196,26046,4493,0.2,February,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paddington,2014,11,Family,PG,0,1,98,81,77,8.2,7.2,4.5,4.3,4.9,4.05,3.85,4.1,3.6,5,4,4,4,3.5,149,38593,4045,0.2,January,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dope,2015,6,Comedy,R,0,0,87,86,72,7.2,7.5,4.5,4.3,4.35,4.3,3.6,3.6,3.75,4.5,4.5,3.5,3.5,4,43,4911,2195,0.2,June,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
What We Do in the Shadows,2015,3,Comedy,R,0,1,96,86,75,8.3,7.6,4.5,4.3,4.8,4.3,3.75,4.15,3.8,5,4.5,4,4,4,69,39561,259,0.2,February,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Overnight,2015,6,Comedy,R,0,0,82,65,65,8.6,6.9,3.5,3.3,4.1,3.25,3.25,4.3,3.45,4,3.5,3.5,4.5,3.5,13,867,110,0.2,June,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Salt of the Earth,2015,3,Documentary,PG-13,0,0,96,90,83,7.8,8.4,4.5,4.3,4.8,4.5,4.15,3.9,4.2,5,4.5,4,4,4,13,6605,83,0.2,March,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Song of the Sea,2014,12,Animation,PG,0,0,99,92,86,8.2,8.2,4.5,4.3,4.95,4.6,4.3,4.1,4.1,5,4.5,4.5,4,4,62,14067,66,0.2,November,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fifty Shades of Grey,2015,2,Romance,R,0,1,25,42,46,3.2,4.2,4,3.9,1.25,2.1,2.3,1.6,2.1,1.5,2,2.5,1.5,2,778,179506,34846,0.1,February,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Get Hard,2015,3,Comedy,R,0,0,29,48,34,3.8,6.1,4,3.9,1.45,2.4,1.7,1.9,3.05,1.5,2.5,1.5,2,3,145,50022,5933,0.1,March,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Focus,2015,2,Comedy,R,0,1,57,54,56,6.2,6.6,4,3.9,2.85,2.7,2.8,3.1,3.3,3,2.5,3,3,3.5,167,101264,4933,0.1,February,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jupiter Ascending,2015,2,Sci-Fi,PG-13,0,1,26,40,40,4.5,5.5,3.5,3.4,1.3,2,2,2.25,2.75,1.5,2,2,2.5,3,503,105412,4122,0.1,February,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Gallows,2015,7,Horror,R,0,0,16,27,30,7,4.4,3,2.9,0.8,1.35,1.5,3.5,2.2,1,1.5,1.5,3.5,2,80,5511,1896,0.1,July,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
